Qty,Reference(s),Value,Digikey
2,"C2, C4",27pF,CL10C270JB81PNC
2,"C6, C9",10uF,GRM21BR61E106MA73L
2,"C25, C26",47uF,GRM21BR61A476ME15L
1,J1,USB,UJ2-BH-W1-TH
1,J4,AUDIO,SJ1-2503A
1,J5,VGA,ICD15S13E4GX00LF
8,CONN,CONN,B2B-XH-A(LF)(SN)
2,"R4, R5",47,RMCF0603FT47R0
2,"R6, R7",220,RMCF0603FT220R
2,"R9, R10",100,RMCF0603JT100R
2,"R12, R13",1.8K,RMCF0603JT1K80
3,"R14, R19, R25",499,RMCF0603FT499R
3,"R16, R21, R27",2K,RMCF0603FT2K00
3,"R17, R22, R28",4.02K,RMCF0603FT4K02
3,"R18, R23, R29",8.06K,RMCF0603FT8K06
1,R24,16K,RMCF0603FT16K0
1,U1,NCP1117LP-3.3_SOT223,NCP1117LPST33T3G
1,U2,RP2040,RP2040
2,"U3, U4",74LVC1G17,74LVC1G17
1,U5,W25Q128JVS,W25Q128JVS
1,U6,BCR401UW6Q,BCR401UW6Q
1,Y1,12MHz,ABLS7M-12.000MHZ-B-2-T
25,CONN,CONN,XHP-2
10,CONN,CONN,ASXHSXH22K254
